file,blurr,brightness,colorswap,move,resize,rotated
8299.png,100.000000,100.000000,99.479167,76.041667,82.812500,95.312500
8300.png,100.000000,100.000000,100.000000,95.833333,83.333333,96.354167
8301.png,100.000000,100.000000,97.395833,83.333333,90.104167,95.312500
8302.png,100.000000,100.000000,96.875000,83.333333,81.250000,93.750000
8305.png,99.479167,100.000000,98.437500,83.854167,76.041667,95.833333
8306.png,100.000000,100.000000,98.437500,83.333333,81.770833,95.312500
8308.png,100.000000,100.000000,98.958333,88.541667,87.500000,95.833333
8310.png,100.000000,100.000000,98.437500,85.416667,91.145833,97.916667
8311.png,100.000000,100.000000,97.916667,80.208333,79.687500,95.312500
8312.png,100.000000,100.000000,96.354167,90.104167,89.583333,95.833333
8314.png,100.000000,100.000000,98.437500,93.750000,89.062500,97.395833
8315.png,100.000000,100.000000,96.354167,84.895833,81.250000,94.791667
8316.png,100.000000,100.000000,97.916667,76.041667,79.166667,93.229167
8318.png,99.479167,100.000000,96.875000,81.770833,79.687500,93.229167
8319.png,100.000000,100.000000,100.000000,86.458333,90.625000,96.354167
8323.png,100.000000,100.000000,98.958333,83.854167,83.854167,92.187500
8324.png,100.000000,100.000000,98.437500,94.270833,85.416667,94.270833
8327.png,100.000000,100.000000,98.958333,85.416667,86.458333,95.833333
8328.png,100.000000,100.000000,98.958333,87.500000,81.770833,96.354167
8329.png,100.000000,100.000000,97.916667,85.416667,79.166667,94.791667
8333.png,100.000000,100.000000,100.000000,86.979167,78.645833,94.791667
8334.png,99.479167,100.000000,94.270833,91.145833,81.250000,92.708333
8335.png,100.000000,100.000000,97.916667,81.770833,80.729167,93.229167
8336.png,100.000000,100.000000,98.437500,85.937500,75.520833,91.666667
8337.png,99.479167,100.000000,100.000000,86.458333,79.687500,94.270833
8338.png,100.000000,100.000000,97.916667,78.125000,83.333333,94.270833
8339.png,100.000000,100.000000,96.354167,82.812500,80.208333,93.750000
8340.png,100.000000,100.000000,99.479167,97.916667,86.979167,94.791667
8341.png,100.000000,100.000000,98.958333,83.333333,90.104167,95.833333
8343.png,100.000000,100.000000,96.354167,81.250000,81.250000,94.270833
8344.png,100.000000,100.000000,98.437500,71.875000,78.125000,95.312500
